transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,Max_Active_Power,Max_Apparent_Power
TR_9e433286,ES00369,ES00370,220,400,85.36865834425238,91.89992296598557
TR_5b9e4f80,ES00375,ES00376,220,400,716.2837155486425,721.3622933881225
TR_13fe3810,ES00210,ES00211,220,400,325.7183324815348,327.9223126327417
TR_a35675e3,ES00435,ES00436,220,400,632.8074087333572,635.4573845942033
TR_ba0a135f,ES00003,ES00004,220,400,970.3474661937669,1010.8786624617406
TR_6c5e9c5a,ES00228,ES00229,220,400,530.6361208773734,547.1183795824746
TR_4e681766,ES00052,ES00053,220,400,360.6813865440554,370.9486498660415
TR_da0a8bbb,ES00205,ES00206,220,400,912.9841633695289,1019.1308280370406
TR_cbe8a5bf,ES00011,ES00012,220,400,291.7603117944668,291.76144335092664
TR_5d89fb1a,ES00626,ES01258,220,400,186.7668734301899,196.59007039432203
TR_1567d725,ES00624,ES00625,320,400,1304.9585581535318,1305.3406532711613
